timestamp,regno,url,status code
20181017 14:38,202315,http://beta.charitycommission.gov.uk/charity-details/?regid=202315&subid=0,200
20181017 14:38,202442,http://beta.charitycommission.gov.uk/charity-details/?regid=202442&subid=0,200
20181017 14:38,202467,http://beta.charitycommission.gov.uk/charity-details/?regid=202467&subid=0,200
20181017 14:38,202488,http://beta.charitycommission.gov.uk/charity-details/?regid=202488&subid=0,200
20181017 14:38,202542,http://beta.charitycommission.gov.uk/charity-details/?regid=202542&subid=0,200
20181017 14:38,202543,http://beta.charitycommission.gov.uk/charity-details/?regid=202543&subid=0,200
20181017 14:38,202554,http://beta.charitycommission.gov.uk/charity-details/?regid=202554&subid=0,200
20181017 14:38,202712,http://beta.charitycommission.gov.uk/charity-details/?regid=202712&subid=0,200
20181017 14:38,202742,http://beta.charitycommission.gov.uk/charity-details/?regid=202742&subid=0,200
20181017 14:38,202784,http://beta.charitycommission.gov.uk/charity-details/?regid=202784&subid=0,200
20181017 14:38,202806,http://beta.charitycommission.gov.uk/charity-details/?regid=202806&subid=0,200
20181017 14:38,202817,http://beta.charitycommission.gov.uk/charity-details/?regid=202817&subid=0,200
20181017 14:38,202837,http://beta.charitycommission.gov.uk/charity-details/?regid=202837&subid=0,200
20181017 14:38,202843,http://beta.charitycommission.gov.uk/charity-details/?regid=202843&subid=0,200
20181017 14:38,202845,http://beta.charitycommission.gov.uk/charity-details/?regid=202845&subid=0,200
20181017 14:38,202853,http://beta.charitycommission.gov.uk/charity-details/?regid=202853&subid=0,200
20181017 14:38,200047,http://beta.charitycommission.gov.uk/charity-details/?regid=200047&subid=0,200
20181017 14:38,200049,http://beta.charitycommission.gov.uk/charity-details/?regid=200049&subid=0,200
20181017 14:38,200055,http://beta.charitycommission.gov.uk/charity-details/?regid=200055&subid=0,200
20181017 14:38,200097,http://beta.charitycommission.gov.uk/charity-details/?regid=200097&subid=0,200
20181017 14:38,200125,http://beta.charitycommission.gov.uk/charity-details/?regid=200125&subid=0,200
20181017 14:38,200224,http://beta.charitycommission.gov.uk/charity-details/?regid=200224&subid=0,200
20181017 14:38,200227,http://beta.charitycommission.gov.uk/charity-details/?regid=200227&subid=0,200
20181017 14:38,200230,http://beta.charitycommission.gov.uk/charity-details/?regid=200230&subid=0,200
20181017 14:38,200233,http://beta.charitycommission.gov.uk/charity-details/?regid=200233&subid=0,200
20181017 14:38,200237,http://beta.charitycommission.gov.uk/charity-details/?regid=200237&subid=0,200
20181017 14:38,200253,http://beta.charitycommission.gov.uk/charity-details/?regid=200253&subid=0,200
20181017 14:38,200267,http://beta.charitycommission.gov.uk/charity-details/?regid=200267&subid=0,200
20181017 14:38,200291,http://beta.charitycommission.gov.uk/charity-details/?regid=200291&subid=0,200
